Donor_smiles,HOMO_D(eV),LUMO_D(eV),Acceptor_smiles,HOMO_A(eV),LUMO_A(eV),PCE,Jsc(mA/cm2),FF,Voc(V),DOI
CC1=CC(C(C2=CC(F)=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC(F)=C(CC(CC)CCCC)S%10)=C9S1,-5.45 ,-3.64 ,O=C(C(/C1=C(C#C)/C#C)=C\C(SC2=C3SC4=C2N(CC(CC)CCCC)C5=C4C6=NSN=C6C7=C5N(CC(CC)CCCC)C8=C7SC9=C8SC(/C=C(/C(C%10=CSC(Cl)=C%10%11)=C(C#N)/C#N)C%11=O)=C9CCCCCCCCCCC)=C3CCCCCCCCCCC)C%12=C1C=C(F)C(F)=C%12,-5.70 ,-3.99 ,17.10,25.38,0.77,0.87,10.1016/j.joule.2020.03.023
CCC1=C(Cl)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC)SC(CC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(Cl)=C(CC)S3)C3=C2SC(C)=C3)S1,-5.52 ,-3.57 ,CCn1c2cc3c(cc2c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1[Si]4(CC)CC)[Si](CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.79 ,-4.05 ,7.92,11.62,0.62,1.10,10.1021/acsami.1c06360
O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,-5.22 ,-3.64 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CC(CC)CCCC)C=C6)(C7=CC=C(CC(CC)CCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CC(CC)CCCC)C=C%11)(C%12=CC=C(CC(CC)CCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=C(F)C(F)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3,-5.42 ,-4.17 ,12.21,25.89,0.71,0.66,10.1002/advs.201800307
CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.33 ,-3.53 ,CCOc1c(OCC)c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c2nccnc2c1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc1C2(CC)CC,-5.52 ,-3.80 ,8.58,18.81,0.56,0.82,10.1002/cssc.202100689
CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,-5.00 ,-3.10 ,CCOC(=O)c1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1)-c1sc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C(=O)OCC)cc1C3(c1ccc(CC)cc1)c1ccc(CC)cc1,-5.38 ,-3.93 ,7.73,14.58,0.68,0.78,10.1002/adfm.201705927
CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(SC(C(OCC(CC)CCCC)=O)=C8)C8=C(C9=CC=C(C)S9)C%10=NN(CC(CC)CCCC)N=C7%10)S6,-5.39 ,-3.70 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.48 ,-3.83 ,7.14,14.11,0.63,0.78,10.1039/c7tc02098h
FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C(C)S8)S5)S4)=C3)=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C2SC(C)=C%10)=C1,-5.48 ,-3.64 ,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C(S3)=CC4=C3C5=C(S4)C6=CC7=C(C(SC8=C9SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)/C#N)=C8)=C9C7(C%12=CC=C(CCCCCCCCCC)C=C%12)C%13=CC=C(CCCCCCCCCC)C=C%13)C=C6C5(C%14=CC=C(CCCCCCCCCC)C=C%14)C%15=CC=C(CCCCCCCCCC)C=C%15)=C(C#N)\C#N,-5.95 ,-4.08 ,13.00,19.64,0.77,0.87,10.1039/D0TC01941K
FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C(C)S8)S5)S4)=C3)=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C2SC(C)=C%10)=C1,-5.48 ,-3.64 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCCC)C=C(C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=C(C6=CC(C7=C(C(C)C)C=C(C(C)C)C=C7C(C)C)=C(S6)C8=CC(CCCCCCCCCCCC)=C(S8)/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)S4)S3,-5.65 ,-3.83 ,12.10,18.90,0.72,0.88,10.1002/smtd.202200007
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.26 ,-3.46 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(C8=CC=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)=C7)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(C%14=CC=C(/C=C%15C(C(C=CC=C%16)=C%16C\%15=C(C#N)/C#N)=O)S%14)=C%17)=C%17S%13,-5.28 ,-3.82 ,9.12,15.93,0.62,0.92,10.1039/C7TA01554B
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(F)C(C(OC)=O)=C(C)S6,-5.60 ,-3.65 ,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,-5.66 ,-3.93 ,11.39,17.66,0.63,1.01,10.1002/advs.201901773
